record_id,title,authors,source,year,doi_or_url,database
R119,A Study on Improving the EDISON Data Registration Process Based on Dynamic Design,S. Han; J. Lee; H. Choi,2023 14th International Conference on Information and Communication Technology Convergence (ICTC),2023,10.1109/ICTC58733.2023.10393136,IEEE
R120,An End-to-End Scalable Copyright Detection System for Online Video Sharing Platforms,D. Y. Zhang; J. Badilla; H. Tong; D. Wang,2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),2018,10.1109/ASONAM.2018.8508288,IEEE
R121,Dru: Studying Blockchain as a Complex Network,R. Michalski; M. Pieczka,2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),2020,10.1109/ASONAM49781.2020.9381469,IEEE
R122,"Practical Guide to Azure Cognitive Services: Leverage the power of Azure OpenAI to optimize operations, reduce costs, and deliver cutting-edge AI solutions",C. Seferlis; C. Nellis; A. Roberts,"Practical Guide to Azure Cognitive Services: Leverage the power of Azure OpenAI to optimize operations, reduce costs, and deliver cutting-edge AI solutions",2023,,IEEE
R123,MV4MS: A Spring Cloud based Framework for the Co-Deployment of Multi-Version Microservices,L. Liu; X. He; Z. Tu; Z. Wang,2020 IEEE International Conference on Services Computing (SCC),2020,10.1109/SCC49832.2020.00033,IEEE
R124,Electric Power Multi-Source Heterogeneous Data Fusion Model Based on Edge Computing,P. Fan; F. Dai; Y. He; Z. Zhang; H. Zhu,2024 7th International Conference on Advanced Algorithms and Control Engineering (ICAACE),2024,10.1109/ICAACE61206.2024.10548439,IEEE
R125,Industrial 3D Printing Quality Control System Based on Machine Vision,K. Tagirova; A. Vulfin; P. Kachkaeva,2025 International Russian Smart Industry Conference (SmartIndustryCon),2025,10.1109/SmartIndustryCon65166.2025.10986006,IEEE
R126,E-Quiz: Empowering Educators with a Self-Contained and Programmable Online Exam System,C. Chan; C. Zhao; W. T. Chau; Y. Zhou; Q. Liang; M. Lim,"2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",2023,10.1109/TALE56641.2023.10398402,IEEE
R127,Adaptive scalable pipelines for political event data generation,A. Halterman; J. Irvine; M. Landis; P. Jalla; Y. Liang; C. Grant; M. Solaimani,2017 IEEE International Conference on Big Data (Big Data),2017,10.1109/BigData.2017.8258256,IEEE
R128,Model-based Development of a Dynamic Container-Based Edge Computing System,V. P. Betancourt; B. Liu; J. Becker,2020 IEEE International Symposium on Systems Engineering (ISSE),2020,10.1109/ISSE49799.2020.9272014,IEEE
R129,Citrus: Orchestrating Security Mechanisms via Adversarial Deception,R. Mills; N. Race; M. Broadbent,NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium,2020,10.1109/NOMS47738.2020.9110443,IEEE
R130,Making Reproducible Research Data by Utilizing Persistent ID Graph Structure,J. -H. Um; M. Choi; H. Kim; S. Lee,2020 IEEE International Conference on Big Data and Smart Computing (BigComp),2020,10.1109/BigComp48618.2020.00018,IEEE
R131,Automating Tiny ML Intelligent Sensors DevOPS Using Microsoft Azure,C. Vuppalapati; A. Ilapakurti; K. Chillara; S. Kedari; V. Mamidi,2020 IEEE International Conference on Big Data (Big Data),2020,10.1109/BigData50022.2020.9377755,IEEE
R132,Do Experts Agree About Smelly Infrastructure?,S. Masoumzadeh; N. Saavedra; R. Maipradit; L. Wei; J. F. Ferreira; D. Varró; S. McIntosh,IEEE Transactions on Software Engineering,2025,10.1109/TSE.2025.3553383,IEEE
R133,Smelling Secrets: Leveraging Machine Learning and Language Models for Sensitive Parameter Detection in Ansible Security Analysis,R. Opdebeeck; V. Pontillo; C. Velázquez-Rodríguez; W. De Meuter; C. De Roover,2025 IEEE International Conference on Source Code Analysis & Manipulation (SCAM),2025,10.1109/SCAM67354.2025.00014,IEEE
R134,Multi-tenancy Management and Zero Downtime Upgrades using Cray-HPE Shasta Supercomputers,S. R. Alam; M. Gila; M. Klein; M. Martinasso,2021 SC Workshops Supplementary Proceedings (SCWS),2021,10.1109/SCWS55283.2021.00021,IEEE
R135,Dataset for Web Traffic Security Analysis,M. Lescisin; Q. H. Mahmoud,IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,2018,10.1109/IECON.2018.8591589,IEEE
R136,Cryptomining Detection in Container Clouds Using System Calls and Explainable Machine Learning,R. R. Karn; P. Kudva; H. Huang; S. Suneja; I. M. Elfadel,IEEE Transactions on Parallel and Distributed Systems,2021,10.1109/TPDS.2020.3029088,IEEE
R137,Scalable Learning Environments for Teaching Cybersecurity Hands-on,J. Vykopal; P. Čeleda; P. Seda; V. Švábenský; D. Tovarňák,2021 IEEE Frontiers in Education Conference (FIE),2021,10.1109/FIE49875.2021.9637180,IEEE
R138,A System for Predicting Health of an E-Contract,N. Madaan; S. Mujumdar; S. Srivastava; A. Gupta; S. Tamilselvam; A. Kumar; Q. Luo,2018 IEEE International Conference on Services Computing (SCC),2018,10.1109/SCC.2018.00015,IEEE
R139,Research on the Intelligent Terminal System of Digital Cultural Tourism Sharing Platform,D. Lili,2024 4th Asia-Pacific Conference on Communications Technology and Computer Science (ACCTCS),2024,10.1109/ACCTCS61748.2024.00010,IEEE
R140,Cloud System of Content Accounting with Access on OC Android and IOS,O. Nikonov; V. Skidan; A. Volivach; T. Nadopta; V. Pavlenko,2023 IEEE 4th KhPI Week on Advanced Technology (KhPIWeek),2023,10.1109/KhPIWeek61412.2023.10312933,IEEE
R141,Automation Process of Telecommunication Networks Deployment in Microsoft Azure Cloud Technology,R. Basa; D. Mrozek; O. Lavriv; O. Krasko,"2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)",2020,10.1109/TCSET49122.2020.235484,IEEE
R142,Evaluating Adaptation Methods for Cloud Applications: An Empirical Study,M. Fokaefs; Y. Rouf; C. Barna; M. Litoiu,2017 IEEE 10th International Conference on Cloud Computing (CLOUD),2017,10.1109/CLOUD.2017.85,IEEE
R143,Let's Supercharge the Workflows: An Empirical Study of GitHub Actions,T. Chen; Y. Zhang; S. Chen; T. Wang; Y. Wu,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",2021,10.1109/QRS-C55045.2021.00163,IEEE
R144,Agentic LLM-Driven C++ Build Automation: An Empirical Study,N. Wei; B. Jiang; W. Wei; M. Duan,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2026,10.1109/SANER67736.2026.00023,IEEE
R145,A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks,M. Lescisin; Q. H. Mahmoud,IEEE Open Journal of the Computer Society,2021,10.1109/OJCS.2021.3061445,IEEE
R146,"Social Media Intelligence and Learning Environment: an Open Source Framework for Social Media Data Collection, Analysis and Curation",C. Wang; L. Marini; C. -L. Chin; N. Vance; C. Donelson; P. Meunier; J. T. Yun,2019 15th International Conference on eScience (eScience),2019,10.1109/eScience.2019.00035,IEEE
R147,Extending Educational Web Application with Elasticsearch-Based Log Analysis and Predictive Analytics,C. Dobák; K. Egres; A. Kovács,2025 IEEE 29th International Conference on Intelligent Engineering Systems (INES),2025,10.1109/INES67149.2025.11078186,IEEE
R148,An Empirical Study of Messaging Passing Concurrency in Go Projects,N. Dilley; J. Lange,"2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)",2019,10.1109/SANER.2019.8668036,IEEE
R149,A Hierarchical Approach to Extract Application Logs with Visualization in a Containerized Environment,S. Jash; R. Ganesh; T. D. Rachhadia; P. K. Shah,"2019 International Conference on Computing, Power and Communication Technologies (GUCON)",2019,,IEEE
R150,Data Engineering with AWS Cookbook: A recipe-based approach to help you tackle data engineering problems with AWS services,T. N. Phạm; G. H. González; V. Khan; H. Nofal,Data Engineering with AWS Cookbook: A recipe-based approach to help you tackle data engineering problems with AWS services,2024,,IEEE
R151,Assessing and Improving the Quality of Docker Artifacts,G. Rosa; S. Scalabrino; R. Oliveto,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),2022,10.1109/ICSME55016.2022.00081,IEEE
R152,Run-Time Application Migration Using Checkpoint/Restore In Userspace,A. Tošić,Journal of Web Engineering,2024,10.13052/jwe1540-9589.2357,IEEE
R153,An Analysis and Empirical Study of Container Networks,K. Suo; Y. Zhao; W. Chen; J. Rao,IEEE INFOCOM 2018 - IEEE Conference on Computer Communications,2018,10.1109/INFOCOM.2018.8485865,IEEE
R154,An Empirical Study of DevSecOps Focused on Continuous Security Testing,C. Feio; N. Santos; N. Escravana; B. Pacheco,2024 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),2024,10.1109/EuroSPW61312.2024.00074,IEEE
R155,The Challenge of Reproducible ML: An Empirical Study on The Impact of Bugs,E. Rivera-Landos; F. Khomh; A. Nikanjam,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)",2021,10.1109/QRS54544.2021.00116,IEEE
R156,Cold-Start Anti-Patterns and Refactorings in Serverless Systems: An Empirical Study,S. S. M. Tariq; F. Hassan; A. Bosu; P. Roy,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2026,10.1109/SANER67736.2026.00030,IEEE
R157,Deploying Predictive Models In A Healthcare Environment - An Open Source Approach,D. H. Murphree; D. J. Quest; R. M. Allen; C. Ngufor; C. B. Storlie,2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2018,10.1109/EMBC.2018.8513689,IEEE
R158,"AI-Driven Cloud Infrastructure Provisioning: Leveraging Machine Learning, Observability, and IaC for Autonomous Cloud Operations",A. Mehla; N. Dahiya; K. Singh,2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),2025,10.1109/ETNCC66224.2025.11299663,IEEE
R159,Workflow Optimization Using Hybrid Methodologies for Mitigating Overtasking,S. Darom; D. Horn; S. Prum,"2025 International Conference on Software, Knowledge, Information Management & Applications (SKIMA)",2025,10.1109/SKIMA66621.2025.11155568,IEEE
R160,Turn the Rudder: A Beacon of Reentrancy Detection for Smart Contracts on Ethereum,Z. Zheng; N. Zhang; J. Su; Z. Zhong; M. Ye; J. Chen,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),2023,10.1109/ICSE48619.2023.00036,IEEE
R161,DAppSCAN: Building Large-Scale Datasets for Smart Contract Weaknesses in DApp Projects,Z. Zheng; J. Su; J. Chen; D. Lo; Z. Zhong; M. Ye,IEEE Transactions on Software Engineering,2024,10.1109/TSE.2024.3383422,IEEE
R162,Evaluating Spectrum-Based Fault Localization on Deep Learning Libraries,M. Yan; J. Chen; T. Jiang; J. Jiang; Z. Wang,IEEE Transactions on Software Engineering,2025,10.1109/TSE.2025.3552622,IEEE
R163,Power Data Blockchain Sharing Scheme based on Homomorphic Encryption,Y. Lin; G. Liu; J. Wen; K. Hua; F. Jin; Y. Hu; X. Liu; Q. Zhang,"2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",2022,10.1109/IMCEC55388.2022.10020058,IEEE
R164,An Implementation of High Efficient Smart Street Light Management System for Smart City,Y. -S. Yang; S. -H. Lee; G. -S. Chen; C. -S. Yang; Y. -M. Huang; T. -W. Hou,IEEE Access,2020,10.1109/ACCESS.2020.2975708,IEEE
R165,Exploring LLM-Based Automated Repairing of Ansible Script in Edge-Cloud Infrastructures,S. Kwon; S. Lee; T. Kim; D. Ryu; J. Baik,Journal of Web Engineering,2023,10.13052/jwe1540-9589.2263,IEEE
R166,Mining Sandboxes for Linux Containers,Z. Wan; D. Lo; X. Xia; L. Cai; S. Li,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)",2017,10.1109/ICST.2017.16,IEEE
R167,Local Bitcoin Network Simulator for Performance Evaluation using Lightweight Virtualization,L. Alsahan; N. Lasla; M. Abdallah,"2020 IEEE International Conference on Informatics, IoT, and Enabling Technologies (ICIoT)",2020,10.1109/ICIoT48696.2020.9089630,IEEE
R168,Policy-as-Code in the Wild: A Taxonomy and Dataset for Open Policy Agent from Github,C. Önal; I. Kumara; F. Scaramuzza; M. Tonnarelli,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)",2026,10.1109/SANER-C67878.2026.00038,IEEE
R169,"Learning DevOps: A comprehensive guide to accelerating DevOps culture adoption with Terraform, Azure DevOps, Kubernetes, and Jenkins",M. Krief,"Learning DevOps: A comprehensive guide to accelerating DevOps culture adoption with Terraform, Azure DevOps, Kubernetes, and Jenkins",2022,,IEEE
R170,"Oops, My Tests Broke the Build: An Explorative Analysis of Travis CI with GitHub",M. Beller; G. Gousios; A. Zaidman,2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),2017,10.1109/MSR.2017.62,IEEE
R171,Intelligent Autoscaling of Virtual Machines Based on Performance Metrics and Machine Learning,D. Cuciureanu; R. Botez; V. Dobrota,"2026 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",2026,10.1109/AQTR70159.2026.11578013,IEEE
R172,Big Data Platform for Analysing Crime Evidences,J. M. do Valle; G. Souza; S. Fidelis; A. Araújo; N. Cacho; I. Silva; J. Budke; H. Sales; M. W. Filgueira; F. Lopes; D. Araújo; R. Silva,2020 IEEE Sixth International Conference on Big Data Computing Service and Applications (BigDataService),2020,10.1109/BigDataService49289.2020.00025,IEEE
R173,Towards Few-shot LLM-based Vulnerability Reproduction and Verification for Industrial Web Applications,G. Yang; L. Ni; S. Lin; T. Xia,2025 IEEE 23rd International Conference on Industrial Informatics (INDIN),2025,10.1109/INDIN64977.2025.11279514,IEEE
R174,Fog Computing Over Challenged Networks: A Real Case Evaluation,G. Castellano; F. Risso; R. Loti,2018 IEEE 7th International Conference on Cloud Networking (CloudNet),2018,10.1109/CloudNet.2018.8549354,IEEE
R175,A Secure and Reusable Software Architecture for Supporting Online Data Harmonization,Z. Feric; N. B. Agostini; D. Beene; A. J. Signes-Pastor; Y. Halchenko; D. Watkins; D. MacKenzie; M. Karagas; J. Manjourides; A. Alshawabkeh; D. Kaeli,2021 IEEE International Conference on Big Data (Big Data),2021,10.1109/BigData52589.2021.9671538,IEEE
R176,Castor: Contextual IoT Time Series Data and Model Management at Scale,B. Chen; B. Eck; F. Fusco; R. Gormally; M. Purcell; M. Sinn; S. Tirupathi,2018 IEEE International Conference on Data Mining Workshops (ICDMW),2018,10.1109/ICDMW.2018.00213,IEEE
R177,Quantifying Security Issues in Reusable JavaScript Actions in GitHub Workflows,H. O. Delicheh; A. Decan; T. Mens,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,IEEE
R178,Options Matter: Documenting and Fixing Non-Reproducible Builds in Highly-Configurable Systems,G. A. Randrianaina; D. Eddine Khelladi; O. Zendra; M. Acher,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,IEEE
R179,Choosing the Weapon: A Comparative Study of Security Analyzers for Android Applications,R. B. Joseph; M. F. Zibran; F. Z. Eishita,"2021 IEEE/ACIS 19th International Conference on Software Engineering Research, Management and Applications (SERA)",2021,10.1109/SERA51205.2021.9509271,IEEE
R180,Cloud Based Architecture Design of System of Systems,M. Brazhenenko; P. Kozachok; V. Petrivskyi; O. Bychkov; V. Shevchenko,2019 IEEE 15th International Conference on the Experience of Designing and Application of CAD Systems (CADSM),2019,10.1109/CADSM.2019.8779307,IEEE
R181,A data visualization solution for the smart city to exploit environmental data by means of 3d buildings,M. Alessi; A. Camillò; E. Giangreco; S. Pino; D. Storelli,2020 5th International Conference on Smart and Sustainable Technologies (SpliTech),2020,10.23919/SpliTech49282.2020.9243831,IEEE
R182,Privacy-by-design GEN-RWD Sandbox for Distributed Multicentric Data Analysis in Healthcare: The Proxy Module,L. Nucciarelli; B. Gottardelli; A. M. Tudor; M. Vallati; E. Tavazzi; S. Orini; R. Gatta; G. Arcuri; A. Damiani,2025 IEEE 13th International Conference on Healthcare Informatics (ICHI),2025,10.1109/ICHI64645.2025.00061,IEEE
R183,Challenges to securing the Internet of Things,W. M. S. Stout; V. E. Urias,2016 IEEE International Carnahan Conference on Security Technology (ICCST),2016,10.1109/CCST.2016.7815675,IEEE
R184,Lightweight fog based solution for privacy-preserving in IoT using blockchain,A. H. Alkhazaali; O. ATA,"2020 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",2020,10.1109/HORA49412.2020.9152923,IEEE
R185,~PB&J~ - Easy Automation of Data Science/Machine Learning Workflows,B. Ramanan; L. Drabeck; T. Woo; T. Cauble; A. Rana,2020 IEEE International Conference on Big Data (Big Data),2020,10.1109/BigData50022.2020.9378128,IEEE
R186,Integration of cross-organizational business processes with blockchain: identifying key activities for on-chain execution based on behavioral profiles,J. Lei; L. Wang,6th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2024),2024,10.1049/icp.2024.4282,IEEE
R187,Practical Application of Large‐Scale Blockchain,H. Li; H. Wang,Principles and Applications of Blockchain Systems: How to Overcome the CAP Trilemma in Consortium Blockchain,2025,10.1002/9781394237258.ch9,IEEE
R188,Blockchain-Based Communicator with Multicast Transmission,P. B. Nair; V. A. G B; V. K. V; U. S,2024 8th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),2024,10.1109/CSITSS64042.2024.10816739,IEEE
R189,RingMo-Lite: A Remote Sensing Lightweight Network With CNN-Transformer Hybrid Framework,Y. Wang; T. Zhang; L. Zhao; L. Hu; Z. Wang; Z. Niu; P. Cheng; K. Chen; X. Zeng; Z. Wang; H. Wang; X. Sun,IEEE Transactions on Geoscience and Remote Sensing,2024,10.1109/TGRS.2024.3360447,IEEE
R190,Monitoring Anomalous States of Computer Systems by Intellectual Analysis of Data of System Journals,O. I. Sheluhin; D. V. Kostin; M. G. Gorodnichev,2020 Systems of Signals Generating and Processing in the Field of on Board Communications,2020,10.1109/IEEECONF48371.2020.9078632,IEEE
R191,A Microservice Based Architecture Topology for Machine Learning Deployment,J. L. Ribeiro; M. Figueredo; A. Araujo; N. Cacho; F. Lopes,2019 IEEE International Smart Cities Conference (ISC2),2019,10.1109/ISC246665.2019.9071708,IEEE
R192,Enhancing DataRaceBench for Evaluating Data Race Detection Tools,G. Verma; Y. Shi; C. Liao; B. Chapman; Y. Yan,2020 IEEE/ACM 4th International Workshop on Software Correctness for HPC Applications (Correctness),2020,10.1109/Correctness51934.2020.00008,IEEE
R193,Skluma: An Extensible Metadata Extraction Pipeline for Disorganized Data,T. J. Skluzacek; R. Kumar; R. Chard; G. Harrison; P. Beckman; K. Chard; I. T. Foster,2018 IEEE 14th International Conference on e-Science (e-Science),2018,10.1109/eScience.2018.00040,IEEE
R194,IOSPReD: I/O Specialized Packaging of Reduced Datasets and Data-Intensive Applications for Efficient Reproducibility,C. Niddodi; A. Gehani; T. Malik; S. Mohan; M. L. Rilee,IEEE Access,2023,10.1109/ACCESS.2022.3233787,IEEE
R195,Enabling Efficient Application Monitoring in Cloud Data Centers using SDN,M. Elsaadawy; B. Kemme; M. Younis,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),2020,10.1109/ICC40277.2020.9148826,IEEE
R196,An automated stock recommendation system from stock investment research using domain specific information extraction,T. Tapjinda; P. Vechpanich; N. Leelasupakul; N. Prompoon; C. Patanothai,2015 12th International Joint Conference on Computer Science and Software Engineering (JCSSE),2015,10.1109/JCSSE.2015.7219765,IEEE
R197,ToR-SIM - A mobile malware analysis platform,A. Caranica; A. Vulpe; M. E. Parvu; D. Draghicescu; O. Fratu; T. Lupan,2019 International Conference on Speech Technology and Human-Computer Dialogue (SpeD),2019,10.1109/SPED.2019.8906638,IEEE
R198,Enumerating Cliques of Hypergraphs,M. Pelleau; L. Simon; J. -C. Régin,2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),2025,10.1109/ICTAI66417.2025.00035,IEEE
R199,"Effect of Multitasking on Cognitive Functions, Performance, and Bio-Signals in First Responders",B. Larraga-García; V. Ruiz Bejerano; P. Blanco; S. Navarro; M. Álvarez; X. Oregui; I. Azpiroz; C. Chatzigeorgiou; I. García Olaizola; F. Álvarez; Á. Gutiérrez,IEEE Access,2024,10.1109/ACCESS.2024.3508066,IEEE
R200,An Automated Memory Image Forensic Scheme for Linux Systems Based on Containerization Technology,R. Chen; H. Lin; Q. Lin; H. Ju,2024 IEEE Cyber Science and Technology Congress (CyberSciTech),2024,10.1109/CyberSciTech64112.2024.00040,IEEE
R201,Assessing Security Risks of Software Supply Chains Using Software Bill of Materials,E. O'Donoghue; A. M. Reinhold; C. Izurieta,"2024 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)",2024,10.1109/SANER-C62648.2024.00023,IEEE
R202,Toolset for Collecting Shell Commands and Its Application in Hands-on Cybersecurity Training,V. Švábenský; J. Vykopal; D. Tovarňák; P. Čeleda,2021 IEEE Frontiers in Education Conference (FIE),2021,10.1109/FIE49875.2021.9637052,IEEE
R203,AIL - The design and implementation of an Analysis Information Leak framework,S. Mokaddem; G. Wagener; A. Dulaunoy,2018 IEEE International Conference on Big Data (Big Data),2018,10.1109/BigData.2018.8622074,IEEE
R204,Analytics on the Cloud – Inner Melbourne,Z. Zhao; W. Geng; X. Li; D. Yu; X. Zhou; W. Zhang,"2022 International Conference on Cloud Computing, Big Data Applications and Software Engineering (CBASE)",2022,10.1109/CBASE57816.2022.00030,IEEE
R205,Co-evolution of Infrastructure and Source Code - An Empirical Study,Y. Jiang; B. Adams,2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,2015,10.1109/MSR.2015.12,IEEE
R206,Designing and Implementing Microsoft DevOps Solutions AZ-400 Exam Guide: Prepare for the certification exam and successfully apply Azure DevOps strategies with practical labs,S. Chatterjee; S. Deshpande; H. Been; M. v. d. Gaag,Designing and Implementing Microsoft DevOps Solutions AZ-400 Exam Guide: Prepare for the certification exam and successfully apply Azure DevOps strategies with practical labs,2022,,IEEE
R207,"IEEE Standard for DevOps:Building Reliable and Secure Systems Including Application Build, Package, and Deployment",,ISO/IEC/IEEE Std 32675:2022,2021,10.1109/IEEESTD.2021.9415476,IEEE
R208,An Empirical Case Study on the Temporary File Smell in Dockerfiles,Z. Lu; J. Xu; Y. Wu; T. Wang; T. Huang,IEEE Access,2019,10.1109/ACCESS.2019.2905424,IEEE
R209,A Tutorial on O-RAN Deployment Solutions for 5G: From Simulation to Emulated and Real Testbeds,J. Luis Herrera; S. Montebugnoli; D. Scotece; L. Foschini; P. Bellavista,IEEE Communications Surveys & Tutorials,2026,10.1109/COMST.2025.3577687,IEEE
R210,Pipeline Infrastructure Required to Meet the Requirements on AI,M. Borg,IEEE Software,2023,10.1109/MS.2022.3211687,IEEE
R211,"An Empirical Study on Microservices Deployment Trends, Topics and Challenges in Stack Overflow",A. Bouaziz; M. A. Saied; M. Sayagh; A. Ouni; M. W. Mkaouer,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2025,10.1109/SANER64311.2025.00019,IEEE
R212,Optimization of Data Asset Management and Sharing in Yantian Power Supply Bureau Based on Blockchain Smart Contracts,H. Yang; C. Zhang; K. Zhu; Z. Huang; M. Hu; Y. Ou,"2023 International Conference on Computer Simulation and Modeling, Information Security (CSMIS)",2023,10.1109/CSMIS60634.2023.00134,IEEE
R213,ConfEx: Towards Automating Software Configuration Analytics in the Cloud,O. Tuncer; N. Bila; S. Duri; C. Isci; A. K. Coskun,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),2018,10.1109/DSN-W.2018.00019,IEEE
R214,Cost-Aware Multifaceted Reconfiguration of Service-and Cloud-Based Dynamic Routing Applications,A. Amiri; U. Zdun,2023 IEEE 16th International Conference on Cloud Computing (CLOUD),2023,10.1109/CLOUD60044.2023.00058,IEEE
R215,Code Smell-Guided Prompting for LLM-Based Defect Prediction in Ansible Scripts,H. Hong; S. Lee; D. Ryu; J. Baik,Journal of Web Engineering,2024,10.13052/jwe1540-9589.2383,IEEE
R216,Are We There Yet? Unraveling the State-of-the-Art Smart Contract Fuzzers,S. Wu; Z. Li; L. Yan; W. Chen; M. Jiang; C. Wang; X. Luo; H. Zhou,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),2024,10.1145/3597503.3639152,IEEE
R217,Inspecting the performance of low-power nodes during the execution of edge computing tasks,R. Morabito,2017 14th IEEE Annual Consumer Communications & Networking Conference (CCNC),2017,10.1109/CCNC.2017.7983097,IEEE
R218,Kubernetes in Production Best Practices: Build and manage highly available production-ready Kubernetes clusters,A. Saleh; M. Karslioglu,Kubernetes in Production Best Practices: Build and manage highly available production-ready Kubernetes clusters,2021,,IEEE
R219,Design of intelligent management and control software for gas drainage in the whole mine based on cross platform architecture,K. Wu,2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC),2023,10.1109/ITOEC57671.2023.10292017,IEEE
R220,Characterizing Scheduling Delay for Low-Latency Data Analytics Workloads,W. Chen; A. Pi; S. Wang; X. Zhou,2018 IEEE International Parallel and Distributed Processing Symposium (IPDPS),2018,10.1109/IPDPS.2018.00072,IEEE
R221,TOSCA for Microservice Deployment in Distributed Control Systems: Experiences and Lessons Learned,H. Koziolek; R. Hark; N. Eskandani; P. S. Nguyen; P. Rodriguez,2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C),2023,10.1109/ICSA-C57050.2023.00020,IEEE
R222,Processing Honeypot Logs with Big Data and Data Visualization via Hadoop- Power BI Integration,M. S. Tok; M. Dener; M. Demirci,2022 15th International Conference on Information Security and Cryptography (ISCTURKEY),2022,10.1109/ISCTURKEY56345.2022.9931797,IEEE
R223,System for Multi-Robotic Exploration of Underground Environments CTU-CRAS-NORLAB in the DARPA Subterranean Challenge,T. Rouček; M. Pecka; P. Čížek; T. Petříček; J. Bayer; V. Šalanský; T. Azayev; D. Heřt; M. Petrlík; T. Báča; V. Spurný; V. Krátký; P. Petráček; D. Baril; M. Vaidis; V. Kubelka; F. Pomerleau; J. Faigl; K. Zimmermann; M. Saska; T. Svoboda; T. Krajník,Field Robotics,2022,10.55417/fr.2022055,IEEE
R224,Palo Alto Networks from Policy to Code: Automate PAN-OS security policies with Python precision,N. Matveev; M. Ekanayake,Palo Alto Networks from Policy to Code: Automate PAN-OS security policies with Python precision,2025,,IEEE
R225,CI/CD Pipelines Evolution and Restructuring: A Qualitative and Quantitative Study,F. Zampetti; S. Geremia; G. Bavota; M. Di Penta,2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),2021,10.1109/ICSME52107.2021.00048,IEEE
R226,Kubernetes or OpenShift? Which Technology Best Suits Eclipse Hono IoT Deployments,M. Aly; F. Khomh; S. Yacout,2018 IEEE 11th Conference on Service-Oriented Computing and Applications (SOCA),2018,10.1109/SOCA.2018.00024,IEEE
R227,Container Image Security in HPC: A Comprehensive Large-Scale Evaluation,E. Oseghale; Y. Cheng; S. Li; D. Zhang; S. -H. Lim; Z. Cao; X. Gao; Y. Ji,2025 IEEE Cloud Summit,2025,10.1109/Cloud-Summit64795.2025.00016,IEEE
R228,SAVI-IoT: A Self-Managing Containerized IoT Platform,H. Khazaei; H. Bannazadeh; A. Leon-Garcia,2017 IEEE 5th International Conference on Future Internet of Things and Cloud (FiCloud),2017,10.1109/FiCloud.2017.27,IEEE
R229,Deep Transfer Learning in 6G Networks: A Greener Approach for Taming the Complexity,S. Wang; S. A. R. Zaidi; M. Hafeez; L. Zhang; M. Tatipamula,IEEE Communications Standards Magazine,2026,10.1109/MCOMSTD.2025.3633065,IEEE
R230,2nd International Workshop on the Foundations of Infrastructure Specification and Testing : FIST 2023,L. Baresi; G. Quattrocchi; D. A. Tamburri,2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C),2023,10.1109/ICSA-C57050.2023.00071,IEEE
R231,The Convergence of DevOps and Cloud Computing: A Redefining Software Development,M. P. Dhanveer Prakash; N. Sharma,2023 Seventh International Conference on Image Information Processing (ICIIP),2023,10.1109/ICIIP61524.2023.10537710,IEEE
